grb GRBNAME met trigtime ra dec err ts real LLE_sig theta zenith source_events transient_events source_events_1GeV transient_events_1GeV max_photon_energy max_photon_time photon_flux photon_flux_err energy_flux energy_flux_err LAT_T90 LLE_T90 GBM_T90 LAT_GCN z afterglow BAT_det GCNNAME RA DEC ERR SEP2CLOSEST THETA ZENITH LLE IRFS TSTART_SU TSTOP_SU TS_SU Flux_SU Flux_SU_err Index_SU Index_SU_err TSTART_BEST TSTOP_BEST TS_BEST Flux_BEST Flux_BEST_err Index_BEST Index_BEST_err TSTART_AG TSTOP_AG TS_AG Flux_AG Flux_AG_err Index_AG Index_AG_err
GRB100423244 ---------- 293694687.75 "2010-04-23 05:51:25.750" 0.0 0.0 0.0 39.4 YES 1.87 47.7 32.4 10.0 14.0 1.0 1.0 180.6 180.6 3.19e-06 1.9e-06 4.79e-09 4.39e-09 0.0 0.0 0.0 0.0 0.0 --- N 140619475 132.67 -9.66 0.05 2.08 38.5 25.1 6.2 P8_TRANSIENT100E 0.0 10000.0 55.0 3.44e-06 1.15e-06 -2.05 0.25 0.192 3.193 283.5 0.00147 0.000299 -1.98 0.19 0.192 3.193 283.5 0.00147 0.000299 -1.98 0.19
GRB100511035 ---------- 295231798.23 "2010-05-11 00:49:56.230" 111.3861 -0.9895 0.0522 133.3 YES 3.6 47.6 25.4 99.0 125.0 10.0 11.0 69.2 69.2 1.48e-06 3.91e-07 2.81e-09 1.91e-09 0.0 0.0 0.0 0.0 0.0 --- N 140528837 280.59 -59.45 0.22 2.75 45.9 65.9 2.5 P8_TRANSIENT010E 0.0 4000.0 31.0 1.28e-06 4.87e-07 -2.1 0.3 70.525 2229.262 32.0 1.52e-06 5.68e-07 -2.11 0.3 70.525 2229.262 32.0 1.52e-06 5.68e-07 -2.11 0.3
GRB100620119 ---------- 298695091.11 "2010-06-20 02:51:29.113" 0.0 0.0 0.0 30.6 YES 2.48 23.3 68.7 11.0 13.0 3.0 3.0 474.7 474.7 3.65e-06 0.0 3.21e-09 0.0 0.0 0.0 0.0 0.0 0.0 --- N 140523129 133.09 24.84 0.17 3.96 56.0 28.0 3.5 P8_TRANSIENT010E 0.0 10000.0 91.7 6.01e-06 1.27e-06 -1.99 0.16 1.374 1098.98 115.9 4.32e-05 8.18e-06 -2.04 0.16 1.374 1098.98 115.9 4.32e-05 8.18e-06 -2.04 0.16
GRB100724029 ---------- 301624927.99 "2010-07-24 00:42:05.992" 126.2631 77.1539 0.8016 162.2 YES 11.41 49.5 95.0 16.0 20.0 0.0 0.0 13.4 13.4 9.25e-05 2.28e-05 2.14e-08 5.67e-09 0.0 0.0 0.0 0.0 0.0 --- N 140416060 35.74 42.1 0.07 0.93 138.8 94.3 0.0 P8_TRANSIENT010E 0.0 10000.0 29.3 1.36e-06 6.31e-07 -2.01 0.33 974.08 3133.66 33.6 1.94e-06 7.74e-07 -2.05 0.3 974.08 3133.66 33.6 1.94e-06 7.74e-07 -2.05 0.3
GRB100728095 GRB100728A 301976252.61 "2010-07-28 02:17:30.611" 88.8 -15.4 0.1319 68.4 YES 2.54 59.8 35.2 44.0 59.0 12.0 13.0 248.6 248.6 1.36e-06 4.53e-07 2.93e-09 1.79e-09 0.0 0.0 0.0 0.0 1.567 XO Y 140402007 207.65 5.97 0.11 1.62 13.7 47.2 5.4 P8_TRANSIENT020E 0.0 10000.0 47.4 6.84e-07 2.62e-07 -1.96 0.28 0.0 100.0 80.8 1.95e-05 6.26e-06 -1.76 0.25 0.037 17.862 70.2 8.83e-05 3.11e-05 -1.76 0.25
GRB100826957 ---------- 304556310.0 "2010-08-26 22:58:28.000" 278.28 -24.77 0.0 27.8 YES 3.46 73.6 85.9 3.0 3.0 0.0 0.0 28.4 28.4 0.000123 5.8e-05 5.67e-07 6.21e-07 0.0 0.0 0.0 0.0 0.0 --- N 140323433 356.54 -79.93 0.13 2.35 30.6 68.7 2.1 P8_TRANSIENT010E 0.0 10000.0 40.1 1.76e-06 8.83e-07 -1.54 0.3 0.0 3000.0 40.1 1.76e-06 8.83e-07 -1.54 0.35 135.959 744.197 26.2 2.06e-06 1.17e-06 -1.61 0.35
GRB101014175 ---------- 308722314.62 "2010-10-14 04:11:52.622" 26.5 -48.54 0.0659 69.7 YES 3.43 55.2 102.8 48.0 65.0 6.0 6.0 9479.4 9479.4 4.17e-07 1.6e-07 1.34e-09 8.55e-10 0.0 0.0 0.0 0.0 0.0 --- N 140219824 158.2 7.26 0.62 2.21 95.9 112.9 0.0 P8_TRANSIENT010E 0.0 10000.0 24.0 1.48e-06 6.41e-07 -2.24 0.38 0.0 3000.0 26.0 1.72e-06 7.24e-07 -2.09 0.34 505.28 3430.36 25.9 1.72e-06 7.24e-07 -2.09 0.34
GRB101107011 ---------- 310781787.12 "2010-11-07 00:16:25.117" 170.27 23.88 0.1311 59.0 YES 1.66 36.6 28.3 11.0 13.0 2.0 2.0 151.1 151.1 3.96e-06 1.54e-06 3.82e-09 2.78e-09 0.0 0.0 0.0 0.0 0.0 --- N 140206275 315.24 -8.79 0.06 5.73 46.2 85.4 23.9 P8_TRANSIENT010E 0.0 10000.0 300.7 3.17e-06 4.03e-07 -2.1 0.11 9.844 8591.231 302.7 3.21e-06 4.08e-07 -2.1 0.11 9.844 8591.231 302.7 3.21e-06 4.08e-07 -2.1 0.11
GRB101227406 ---------- 315135908.57 "2010-12-27 09:45:06.568" 240.21 -15.93 0.2905 25.6 YES 2.98 13.6 37.2 6.0 6.0 3.0 3.0 20.5 20.5 6.1e-06 3.18e-06 2.82e-08 3.2e-08 0.0 0.0 0.0 0.0 0.0 --- N 140204547 153.91 49.37 0.13 0.11 41.9 47.3 2.4 P8_TRANSIENT010E 0.0 10000.0 23.4 7.38e-07 3.08e-07 -1.75 0.26 36.583 23772.039 37.0 3.65e-07 1.22e-07 -1.57 0.18 36.583 23772.039 37.0 3.65e-07 1.22e-07 -1.57 0.18
GRB110120666 ---------- 317231981.23 "2011-01-20 15:59:39.229" 61.6223 -12.0016 0.1979 79.6 YES 3.53 13.8 31.4 12.0 15.0 1.0 1.0 111.4 111.4 4.22e-06 1.34e-06 5.34e-09 3.58e-09 0.0 0.0 0.0 0.0 0.0 --- N 140124527 59.26 36.86 0.24 3.58 19.9 65.9 3.0 P8_TRANSIENT010E 0.0 500.0 24.8 1.66e-06 9.26e-07 -1.54 0.33 0.0 1000.0 23.6 1.39e-06 7.57e-07 -1.72 0.34 36.583 45184.898 16.4 3.29e-07 0.0 -1.53 0.34
GRB110123804 ---------- 317503067.05 "2011-01-23 19:17:45.045" 240.5884 28.3645 0.1446 62.2 YES 2.38 54.9 91.4 63.0 82.0 7.0 7.0 1033.6 1033.6 7.54e-07 2.11e-07 6.87e-10 3.18e-10 0.0 0.0 0.0 0.0 0.0 --- N 140110263 29.12 -36.53 0.17 3.05 34.7 64.4 8.6 P8_TRANSIENT020E 0.0 10000.0 65.8 3.08e-06 6.86e-07 -2.49 0.26 0.0 300.0 94.5 2.23e-05 4.14e-06 -2.43 0.23 0.513 968.638 74.9 5.72e-06 1.21e-06 -2.4 0.23
